Notes;;Method;Route;Controller;Action;Description;Gate;id refers to
;;GET;/settings/account;UserAccountController;show();retrieve account details;;
;;PATCH;/settings/account;UserAccountController;update();edit account details;;
;;DELETE;/settings/account;UserAccountController;destroy();deactivate account;;
;;GET;/users/{id}/profile;UserProfileController;show($id);retrieve given user's full profile (expanded with hobbies, skills, etc.);.;users.id
;;GET;/users;UserController;index();list users (essential details for member cards);;
;;GET;/users/{id};UserController;show($id);retrieve user (essential details only);;users.id
;;PATCH;/users/me;UNDESIRED FUNCTIONALITY;update();edit profile;;
;;PUT;/users/me/profile-pic;UserProfilePicController;update();change profile pic;;
;;GET;/users/{id}/skills;UserSkillController;index($id);list a user's skills;;users.id
;;POST;/users/me/skills/{id};UserSkillController;store($id);add a skill;;user_skills.id
;;PATCH;/users/me/skills/{id};UserSkillController;update($id);edit a skill (level);;user_skills.id
;;DELETE;/users/me/skills/{id};UserSkillController;destroy($id);remove a skill;;user_skills.id
;;GET;/users/{id}/languages;UserLanguageController;index($id);list a user's languages;;users.id
;;POST;/users/me/languages/{id};UserLanguageController;store($id);add a language;;user_languages.id
;;PATCH;/users/me/languages/{id};UserLanguageController;update($id);edit language proficiency;;user_languages.id
;;DELETE;/users/me/languages/{id};UserLanguageController;destroy($id);remove a language;;user_languages.id
;;GET;/users/{id}/hobbies;UserHobbyController;index($id);list a user's hobbies;;users.id
;;POST;/users/me/hobbies/{id};UserHobbyController;store($id);add a hobby;;user_hobbies.id
;;DELETE;/users/me/hobbies/{id};UserHobbyController;destroy($id);remove a hobby;;user_hobbies.id
;;;;UserSocialMediaController;;;;
;;;;;;;;
;;;;;;;;
;;GET;/users/{id}/portfolios;PortfolioController;index($id);list given user's portfolios;;users.id
;;GET;/users/{id}/portfolios/{id};PortfolioController;show($id);retrieve a portfolio;;portfolios.id
;;POST;/users/{id}/portfolios;PortfolioController;store();create a portfolio (user can have multiple portfolios for each of his crafts);;
;;PATCH;/users/{id}/portfolios/{id};PortfolioController;update($id);update a portfolio (description);isPortfolioOwner;portfolios.id
;;DELETE;/users/{id}/portfolios/{id};PortfolioController;destroy($id);delete a portfolio;isPortfolioOwner;portfolios.id
;;GET;/portfolios/{id}/items/{id};PortfolioItemController;show($id);retrieve a portfolio item;;
;;POST;/portfolios/{id}/items;PortfolioItemController;store();create a portfolio item;;
;;PATCH;/portfolios/{id}/items/{id};PortfolioItemController;update($id);update a portfolio item;isPortfolioItemOwner;portfolio_items.id
;;DELETE;/portfolios/{id}/items/{id};PortfolioItemController;destroy($id);delete a portfolio item;isPortfolioItemOwner;portfolio_items.id
;;;;;;;;
;;GET;/user/{id}/projects;UserProjectController;index($id);list all projects that the given user is participating in;;
Consider defining this endpoint even though it is the same as /projects/{id}/leave. Point to ProjectMemberController@leave?;;;;UserProjectController;destroy($id);leave a project;;
;;;;;;;;
;;GET;friendships/users/{id}/followers;FollowerController;index($id);list given user's followers;;users.id
;;GET;friendships/users/{id}/followees;FolloweeController;index($id);list given user's followees;;users.id
;;POST;friendships/users/{id}/follow;FollowingController;follow($id);follow a user;;users.id
;;POST;friendships/users/{id}/unfollow;FollowingController;unfollow($id);unfollow a user;;users.id
;;POST;friendships/users/{id}/block;FollowingController;block($id);block a user;;users.id
;;POST;friendships/users/{id}/unblock;FollowingController;unblock($id);unblock a user;;users.id
;;POST;friendships/users/{id}/mute;FollowingController;mute($id);mute a user;;users.id
;;POST;friendships/users/{id}/unmute;FollowingController;unmute($id);unmute a user;;users.id
;;POST;friendships/users/{id}/report;FollowingController;report($id);report a user;;users.id
;;;/users/me/followers;REDUNDANT;;list current user's followers;;
;;;/users/me/followees;REDUNDANT;;list current user's followees;;
;;;/users/{id}/remove;UNDESIRED FUNCTIONALITY;;remove a follower;;
;;;;UNDESIRED FUNCTIONALITY;;;;
;;GET;/users/{id}/reviews;ReviewController;index();list given user's received reviews;;
;;POST;/users/{id}/reviews;ReviewController;store();write a review intender for given user;?;
