id;title;parent_id;is_root_category
500;Videogame;;1
501;Action;500;
502;Action-adventure;500;
503;Adventure;500;
504;Role-playing;500;
505;Simulation;500;
506;Strategy;500;
507;Sports;500;
508;MMO;500;
509;Other;500;
511;Sandbox / open world games;500;
;Platform games;501;
;Shooter games;501;
;Fighting games;501;
;Beat 'em up games;501;
;Stealth game;501;
;Survival games;501;
;Rhythm games;501;
;Battle Royale games;501;
;Survival horror;502;
;Metroidvania;502;
;Text adventures;503;
;Graphic adventures;503;
;Visual novels;503;
;Interactive movie;503;
;Real-time 3D adventures;503;
;Action RPG;504;
;MMORPG;504;
;Roguelikes;504;
;Tactical RPG;504;
;Sandbox RPG;504;
;First-person party-based RPG;504;
;JRPG;504;
;Monster Tamer;504;
;Construction and management simulation;505;
;Life simulation;505;
;Vehicle simulation;505;
;4X game;506;
;Artillery game;506;
;Auto battler (Auto chess);506;
;Multiplayer online battle arena (MOBA);506;
;Real-time strategy (RTS);506;
;Real-time tactics (RTT);506;
;Tower defense;506;
;Turn-based strategy (TBS);506;
;Turn-based tactics (TBT);506;
;Wargame;506;
;Grand strategy wargame;506;
;Racing;507;
;Sports game;507;
;Competitive;507;
;Sports-based fighting;507;
;Board game or card game;509;
;Breakout clone game;509;
;Casino game;509;
;Casual games;509;
;Digital collectible card game;509;
;Gacha game;509;
;Horror game;509;
;Idle game;509;
;Logic game;509;
;Party game;509;
;Photography game;509;
;Programming game;509;
;Social deduction game;509;
;Trivia game;509;
;Typing game;509;
;Advergame;509;
;Art game;509;
;Casual game;509;
;Christian game;509;
;Educational game;509;
;Esports;509;
;Exergame;509;
;Personalized game;509;
;Serious game;509;
;Sandbox;511;
;Creative;511;
;Open world;511;
200;Music;;1
201;Pop;200;
202;Jazz;200;
203;Funk;200;
204;Folk;200;
205;Country;200;
206;Latin;200;
207;Soul;200;
208;EDM;200;
209;Punk;200;
210;Opera;200;
211;Rap;200;
212;Rock;200;
213;Classical;200;
214;R&B;200;
215;Hip Hop;200;
216;Metal;200;
217;Blues;200;
218;Gospel;200;
219;Reggae;200;
220;Trap;200;
221;World;200;
222;Techno;200;
223;Dance;200;
224;Electronic;200;
225;Meditation;200;
100;Film;;1
101;Short;100;
102;Drama;100;
103;Comedy;100;
104;Documentary;100;
105;Adult;100;
106;Action;100;
107;Romance;100;
108;Thriller;100;
109;Animation;100;
110;Family;100;
111;Crime;100;
112;Horror;100;
113;Adventure;100;
114;Fantasy;100;
115;Sci-Fi;100;
116;Mystery;100;
117;Biography;100;
118;Sport;100;
119;History;100;
120;Musical;100;
121;Western;100;
122;War;100;
123;Reality-TV;100;
124;News;100;
125;Talk-Show;100;
126;Game-Show;100;
127;Film-Noir;100;
128;Lifestyle;100;
129;Experimental;100;
130;Commercial;100;
300;Apps;;1
301;Business;300;
302;Education;300;
303;Lifestyle;300;
304;Entertainment;300;
305;Utilities;300;
306;Travel;300;
307;Book;300;
308;Health & Fitness;300;
309;Food & Drink;300;
